Kurdish - O - Banking (KOB) Report
Transaction Summary - Last 7 Days
Generated on: 2025-04-24 00:54:52
Generated by: Admin (Admin)

FINANCIAL SUMMARY
Total Deposits,$2700.00
Total Withdrawals,$1100.00
Net Balance,$1600.00
Pending Transactions,0

TRANSACTION DETAILS
Transaction ID,Account ID,User,Type,Amount,Date,Status,Description
23,10,Rawaz.muhsin,Deposit,500.00,2025-04-24 00:36:37,APPROVED,yes
22,10,Rawaz.muhsin,Withdrawal,500.00,2025-04-24 00:28:28,APPROVED,
21,13,baxan.hamid,Withdrawal,250.00,2025-04-23 13:35:44,APPROVED,
20,13,baxan.hamid,Deposit,500.00,2025-04-23 13:35:02,APPROVED,yes
19,10,Rawaz.muhsin,Deposit,1000.00,2025-04-23 13:23:17,REJECTED,
17,10,Rawaz.muhsin,Transfer,-500.00,2025-04-22 21:29:13,APPROVED,Transfer to account ID 11
18,11,azhy.a,Transfer,500.00,2025-04-22 21:29:13,APPROVED,Transfer from account ID 10
16,10,Rawaz.muhsin,Withdrawal,250.00,2025-04-21 19:10:13,APPROVED,
14,11,azhy.a,Transfer,-100.00,2025-04-21 19:03:33,APPROVED,Transfer to account ID 13
15,13,baxan.hamid,Transfer,100.00,2025-04-21 19:03:33,APPROVED,Transfer from account ID 11
13,10,Rawaz.muhsin,Deposit,100.00,2025-04-21 10:49:21,APPROVED,yes
12,10,Rawaz.muhsin,Transfer,250.00,2025-04-20 22:02:58,APPROVED,Transfer to account ID 11
11,10,Rawaz.muhsin,Withdrawal,100.00,2025-04-20 17:42:47,APPROVED,yes
10,10,Rawaz.muhsin,Deposit,100.00,2025-04-20 17:34:55,APPROVED,yess
9,10,Rawaz.muhsin,Deposit,500.00,2025-04-20 17:20:26,APPROVED,yes
8,10,Rawaz.muhsin,Transfer,250.00,2025-04-20 17:07:02,APPROVED,Transfer to account ID 11
7,10,Rawaz.muhsin,Transfer,250.00,2025-04-19 20:39:21,APPROVED,Transfer to account ID 12
6,10,Rawaz.muhsin,Transfer,250.00,2025-04-19 20:25:52,APPROVED,Transfer to account ID 11
5,10,Rawaz.muhsin,Transfer,500.00,2025-04-19 20:10:06,APPROVED,Transfer to account ID 11
4,10,Rawaz.muhsin,Transfer,100.00,2025-04-19 20:06:23,APPROVED,Transfer to account ID 11
3,10,Rawaz.muhsin,Transfer,100.00,2025-04-19 20:02:28,APPROVED,Transfer to account ID 11
